university_name,country_code,level,dp_bachelor_programmes,url,url_status,robots_status,carries,checked_at
Middle East Technical University,TR,bachelor,20,https://iso.metu.edu.tr/en/who-can-apply,verified_200,allowed_crawl_delay_10,"READ BUT NOT USABLE AS A ROW. The page states only that eligibility is defined by the Council of Higher Education's 'Principles Governing International Student Admissions' and links every actual figure to another page. No program_requirements row was written from it.",2026-09-02
Middle East Technical University,TR,bachelor,20,https://iso.metu.edu.tr/en/system/files/odtu_iso_requirements.pdf,discovered_not_readable,allowed_crawl_delay_10,"THE EXAM AND DIPLOMA MINIMA LIVE HERE AND THIS PDF DID NOT PARSE -- it returned binary rather than text. Search engines summarise it as SAT 1200 / ACT 27 / A Level ABB / IB 33 with higher bars for Engineering, but a search summary is not a source we read, so NOTHING from it was recorded. Needs a manual read.",2026-09-02
Bilkent University,TR,bachelor,11,,url_not_yet_discovered,unknown,International undergraduate admission requirements,
Bogazici University,TR,bachelor,10,https://intl.bogazici.edu.tr/required-documents-undergraduate-application,verified_200,allowed_crawl_delay_10,"Full accepted-exam list with minima (TR-YOS 450; SAT 1200-1350 by faculty; A Levels AAA in three relevant subjects), TOEFL 79 / IELTS 6.5, EUR 100 application fee. Deadline and tuition are NOT on this page.",2026-09-02
Bogazici University,TR,bachelor,10,https://intl.bogazici.edu.tr/qualification-status-international-student,verified_200,allowed_crawl_delay_10,Who counts as an international applicant. Carries no requirement figures.,2026-09-02
Tsinghua University,CN,bachelor,35,https://international.join-tsinghua.edu.cn/Admission1/Eligibility.htm,verified_200,allowed,"High school certificate accepted directly; age 18+ by 1 Sep 2026; HSK 5 for Chinese-English taught (HSK 4 conditional on reaching 5 in year one), no HSK for English-taught. Fees, tuition and deadline NOT stated.",2026-09-02
Harbin Institute of Technology,CN,bachelor,34,https://studyathit.hit.edu.cn/18358/list.htm,verified_200,allowed,"The most complete Chinese source so far: HSK 4 >=210, IELTS 6.0 / TOEFL 80 for the two English-taught programmes, tuition CNY 20000 Chinese-taught and 26000 English-taught, fee CNY 400, deadline 15 July 2026, portal hit.at0086.cn.",2026-09-02
Zhejiang University,CN,bachelor,19,https://iczu.zju.edu.cn/admissionsen/2024/1030/c68988a2981659/page.htm,verified_200,allowed,"Age under 25; HSK certificate required but THE LEVEL IS NOT STATED (published per programme in the Chinese-taught catalogue); fee RMB 800; deadline 28 Feb 2026, some majors 31 May 2026; tuition varies by programme.",2026-09-02
Beijing University of Chemical Technology,CN,bachelor,19,,url_not_yet_discovered,unknown,International undergraduate admission; HSK requirement,
uni-assist,DE,bachelor,0,https://www.uni-assist.de/en/tools/glossary-of-terms/description/term/university-entrance-qualification-hochschulzugangsberechtigung/,verified_200,allowed,"ROUTE CITATION not a programme row. States the HZB may result from the school certificate combined with an entrance exam and/or specific lengths of university studies in the home country. This is the authoritative source for the prep-year mechanic in Germany.",2026-09-02
UCL Undergraduate Preparatory Certificate,GB,bachelor,0,https://www.ucl.ac.uk/languages-international-education/preparation-courses/upc-foundation,discovered_not_yet_read,refused_robots_403,"UPC course structure and fees. Same origin as the UCL row above and refused for the same reason: ucl.ac.uk returned HTTP 403 for robots.txt on 2026-09-04. This page was never read, and now cannot be read automatically -- it needs a person.",2026-09-04
